name,line,time,transfer,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A10_t5_1_b_72,A10,t5,72,5,10,11,0.5,0.4,0.33,109.7
A10_t5_2_a_72,A10,t5,72,6,10,11,0.43,0.35,0.3,114.5
A10_t5_2_b_72,A10,t5,72,5,10,10,0.46,0.36,0.33,116.3
A10_t5_3_a_72,A10,t5,72,5,9,10,0.33,0.34,0.26,128.3
A10_t5_3_b_72,A10,t5,72,6,10,11,0.33,0.31,0.25,120.1
A10_t5_4_a_72,A10,t5,72,6,10,12,0.5,0.43,0.34,91.5
A10_t5_4_b_72,A10,t5,72,6,10,12,0.38,0.42,0.34,85.2
A10_t5_5a_72,A10,t5,72,5,9,11,0.55,0.45,0.37,86.2
A10_t5_5_b_72,A10,t5,72,6,10,11,0.46,0.43,0.34,92.2
A10_t5_6_a_72,A10,t5,72,6,10,11,0.38,0.29,0.25,125.3
A10_t5_6_b_72,A10,t5,72,6,10,10,0.44,0.29,0.26,147.8
A10_t5_7_a_72,A10,t5,72,5,10,11,0.52,0.5,0.39,69.5
A10_t5_7_b_72,A10,t5,72,5,10,11,0.58,0.45,0.35,80.5
A10_t5_8_a_72,A10,t5,72,6,9,10,0.44,0.34,0.27,148.8
A10_t5_8_b_72,A10,t5,72,6,10,11,0.45,0.35,0.29,129.9
A10_t5_9_a_72,A10,t5,72,4,10,11,0.81,0.55,0.41,69.6
A10_t5_9_b_72,A10,t5,72,0,6,11,NA,0.54,0.51,55.1
A18_t0_1_a_72,A18,t0,0,8,9,9,0.36,0.18,0.17,89.7
A18_t0_1_b_72,A18,t0,0,8,10,10,0.52,0.22,0.21,118.2
A18_t0_2_a_72,A18,t0,0,8,9,10,0.43,0.24,0.21,112.9
A18_t0_2_b_72,A18,t0,0,8,10,10,0.54,0.24,0.2,74.4
A18_t0_3_a_72,A18,t0,0,8,9,10,0.57,0.24,0.21,111.4
A18_t0_3_b_72,A18,t0,0,9,9,10,0.29,0.26,0.2,148
A18_t0_4_a_72,A18,t0,0,8,9,10,0.62,0.28,0.23,98.4
A18_t0_4_b_72,A18,t0,0,8,9,10,0.56,0.25,0.24,106.4
A18_t0_5a_72,A18,t0,0,7,9,10,0.85,0.35,0.3,115.3
A18_t0_5_b_72,A18,t0,0,5,9,10,0.62,0.37,0.28,101.7
A18_t0_6_a_72,A18,t0,0,8,9,9,0.6,0.27,0.26,69.3
A18_t0_6_b_72,A18,t0,0,8,9,10,0.19,0.16,0.21,86.6
A18_t0_7_a_72,A18,t0,0,7,8,9,0.69,0.26,0.21,124.3
A18_t0_7_b_72,A18,t0,0,8,9,9,0.26,0.17,0.15,98.7
A18_t0_8_a_72,A18,t0,0,8,9,10,0.65,0.32,0.25,78.6
