,Name,strain,replicate,time,bioreplicate,drug,person,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A0490M,C_9_t0_b,A04,9,0,one,POS,M,11,12,13,0.16,0.11,0.12,162
A0810M,D_1_t0_a,A08,1,0,one,POS,M,9,11,12,0.19,0.17,0.17,151.8
A0810M,D_1_t0_b,A08,1,0,one,POS,M,8,11,12,0.27,0.21,0.2,167.1
A08100M,D_10_t0_a,A08,10,0,one,POS,M,10,11,11,0.16,0.12,0.11,355.1
A08100M,D_10_t0_b,A08,10,0,one,POS,M,11,12,13,0.18,0.14,0.16,186.3
A08105M,D_10_t5_a,A08,10,5,one,POS,M,0,0,11,NA,NA,0.9,26.3
A08105M,D_10_t5_b,A08,10,5,one,POS,M,0,0,15,NA,NA,0.8,30.1
A08110M,D_11_t0_a,A08,11,0,one,POS,M,9,10,11,0.22,0.15,0.17,381.8
A08110M,D_11_t0_b,A08,11,0,one,POS,M,11,12,13,0.1,0.1,0.13,167.6
A08120M,D_12_t0_a,A08,12,0,one,POS,M,8,9,10,0.19,0.16,0.15,361.4
A08120M,D_12_t0_b,A08,12,0,one,POS,M,11,12,13,0.21,0.17,0.19,131.7
A0820M,D_2_t0_a,A08,2,0,one,POS,M,10,12,13,0.15,0.13,0.16,125.3
A0820M,D_2_t0_b,A08,2,0,one,POS,M,11,12,13,0.11,0.11,0.13,163.1
A0830M,D_3_t0_a,A08,3,0,one,POS,M,11,12,12,0.23,0.16,0.15,164.8
A0830M,D_3_t0_b,A08,3,0,one,POS,M,11,12,13,0.16,0.12,0.15,128.2
A0840M,D_4_t0_a,A08,4,0,one,POS,M,11,12,13,0.16,0.12,0.15,151.5
A0840M,D_4_t0_b,A08,4,0,one,POS,M,11,12,13,0.19,0.13,0.14,173.1
A0850M,D_5_t0_a,A08,5,0,one,POS,M,11,12,13,0.12,0.09,0.11,155
A0850M,D_5_t0_b,A08,5,0,one,POS,M,11,12,13,0.14,0.11,0.12,173.3
A0860M,D_6_t0_a,A08,6,0,one,POS,M,12,12,13,0.07,0.06,0.1,106.9
A0860M,D_6_t0_b,A08,6,0,one,POS,M,12,13,14,0.06,0.08,0.13,124
A0870M,D_7_t0_a,A08,7,0,one,POS,M,9,10,11,0.1,0.1,0.13,416.2
A0870M,D_7_t0_b,A08,7,0,one,POS,M,12,13,14,0.09,0.1,0.14,124.2
A0880M,D_8_t0_a,A08,8,0,one,POS,M,9,10,11,0.23,0.13,0.15,392.8
A0880M,D_8_t0_b,A08,8,0,one,POS,M,11,12,13,0.11,0.1,0.14,103.6
A0890M,D_9_t0_a,A08,9,0,one,POS,M,10,10,11,0.13,0.12,0.14,350.9
A0890M,D_9_t0_b,A08,9,0,one,POS,M,11,12,13,0.11,0.1,0.12,175
A0210M,A_1_t0_a,A02,1,0,two,POS,M,12,13,14,0.06,0.08,0.12,88.6
A0210M,A_1_t0_b,A02,1,0,two,POS,M,12,13,15,0.06,0.09,0.19,40.5
A02100M,A_10_t0_a,A02,10,0,two,POS,M,9,10,11,0.09,0.1,0.15,219.5
A02100M,A_10_t0_b,A02,10,0,two,POS,M,12,13,14,0.11,0.09,0.12,76.3
A02110M,A_11_t0_a,A02,11,0,two,POS,M,12,13,14,0.06,0.1,0.14,50.8
A02110M,A_11_t0_b,A02,11,0,two,POS,M,12,12,14,0.06,0.06,0.14,63.4
A02120M,A_12_t0_a,A02,12,0,two,POS,M,11,12,14,0.04,0.06,0.15,70.3
A02120M,A_12_t0_b,A02,12,0,two,POS,M,11,12,13,0.09,0.08,0.11,46.4
