,Name,strain,replicate,time,bioreplicate,drug,person,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope
A1240M,F_4_t0_b,A12,4,0,one,POS,M,1,8,10,NA,0.76,0.52,42.3
A1245M,F_4_t5_a,A12,4,5,one,POS,M,3,11,13,0.82,0.48,0.4,32.7
A1245M,F_4_t5_b,A12,4,5,one,POS,M,0,7,8,NA,0.66,0.49,17.7
A1250M,F_5_t0_a,A12,5,0,one,POS,M,2,8,10,0.62,0.63,0.47,45.3
A1250M,F_5_t0_b,A12,5,0,one,POS,M,2,4,9,0.6,0.48,0.53,46.7
A1255M,F_5_t5_a,A12,5,5,one,POS,M,9,11,11,0.63,0.31,0.3,13.1
A1255M,F_5_t5_b,A12,5,5,one,POS,M,2,10,11,0.4,0.62,0.51,16.6
A1260M,F_6_t0_a,A12,6,0,one,POS,M,5,10,12,0.18,0.37,0.29,54.6
A1260M,F_6_t0_b,A12,6,0,one,POS,M,8,22,25,0.41,0.51,0.37,20.4
A1270M,F_7_t0_a,A12,7,0,one,POS,M,2,5,10,0.5,0.48,0.52,40.1
A1270M,F_7_t0_b,A12,7,0,one,POS,M,1,4,9,NA,0.65,0.61,43.8
A1275M,F_7_t5_a,A12,7,5,one,POS,M,3,10,10,0.42,0.53,0.49,20.8
A1275M,F_7_t5_b,A12,7,5,one,POS,M,1,6,7,NA,0.53,0.53,16.1
A1280M,F_8_t0_a,A12,8,0,one,POS,M,2,11,12,0.52,0.62,0.56,23
A1280M,F_8_t0_b,A12,8,0,one,POS,M,3,7,12,0.51,0.53,0.52,27.2
A1285M,F_8_t5_a,A12,8,5,one,POS,M,2,8,12,0.63,0.62,0.52,29.7
A1285M,F_8_t5_b,A12,8,5,one,POS,M,2,7,10,0.33,0.65,0.49,26.5
A1290M,F_9_t0_a,A12,9,0,one,POS,M,2,6,11,0.56,0.64,0.54,33.5
A1290M,F_9_t0_b,A12,9,0,one,POS,M,2,10,12,0.72,0.69,0.54,22.2
A1295M,F_9_t5_a,A12,9,5,one,POS,M,7,11,12,0.72,0.4,0.39,17.5
A1295M,F_9_t5_b,A12,9,5,one,POS,M,3,12,13,0.45,0.42,0.4,15.9
A1710M,G_1_t0_a,A17,1,0,one,POS,M,11,12,12,0.08,0.1,0.1,208.4
A1710M,G_1_t0_b,A17,1,0,one,POS,M,12,13,14,0.06,0.08,0.13,164.3
A17100M,G_10_t0_a,A17,10,0,one,POS,M,11,12,13,0.06,0.09,0.14,224.2
A17100M,G_10_t0_b,A17,10,0,one,POS,M,11,12,13,0.06,0.08,0.13,247.7
A17105M,G_10_t5_a,A17,10,5,one,POS,M,16,20,21,0.51,0.3,0.3,33.5
A17105M,G_10_t5_b,A17,10,5,one,POS,M,0,13,14,NA,0.7,0.6,26.1
A17110M,G_11_t0_a,A17,11,0,one,POS,M,12,12,14,0.07,0.06,0.15,171.2
A17110M,G_11_t0_b,A17,11,0,one,POS,M,11,12,13,0.05,0.07,0.11,183.5
A17115M,G_11_t5_a,A17,11,5,one,POS,M,3,10,12,0.48,0.56,0.4,71.7
A17115M,G_11_t5_b,A17,11,5,one,POS,M,0,9,12,NA,0.78,0.57,50
A17120M,G_12_t0_a,A17,12,0,one,POS,M,10,11,12,0.06,0.07,0.12,236.7
A17120M,G_12_t0_b,A17,12,0,one,POS,M,11,11,12,0.07,0.07,0.1,247.8
A1720M,G_2_t0_a,A17,2,0,one,POS,M,11,12,13,0.07,0.09,0.14,255.5
A1720M,G_2_t0_b,A17,2,0,one,POS,M,12,13,14,0.06,0.07,0.1,180.1
A1730M,G_3_t0_a,A17,3,0,one,POS,M,11,12,13,0.09,0.1,0.14,217.9
A1730M,G_3_t0_b,A17,3,0,one,POS,M,12,12,14,0.06,0.06,0.14,248.5
A1735M,G_3_t5_a,A17,3,5,one,POS,M,1,14,14,NA,0.64,0.62,21.3
A1735M,G_3_t5_b,A17,3,5,one,POS,M,0,12,15,NA,0.8,0.56,36
A1740M,G_4_t0_a,A17,4,0,one,POS,M,10,11,12,0.12,0.1,0.12,262.6
A1740M,G_4_t0_b,A17,4,0,one,POS,M,11,12,13,0.05,0.07,0.11,240.8
A1745M,G_4_t5_a,A17,4,5,one,POS,M,6,14,18,0.4,0.41,0.39,43.6
A1745M,G_4_t5_b,A17,4,5,one,POS,M,1,13,15,NA,0.68,0.53,32.3
A1750M,G_5_t0_a,A17,5,0,one,POS,M,10,11,12,0.11,0.09,0.11,272.7
A1750M,G_5_t0_b,A17,5,0,one,POS,M,11,11,12,0.09,0.08,0.12,148.9
A1755M,G_5_t5_a,A17,5,5,one,POS,M,2,10,17,0.47,0.54,0.56,43.4
A1755M,G_5_t5_b,A17,5,5,one,POS,M,1,13,15,NA,0.6,0.48,48.9
A1760M,G_6_t0_a,A17,6,0,one,POS,M,9,11,12,0.11,0.14,0.18,178.3
A1760M,G_6_t0_b,A17,6,0,one,POS,M,12,12,14,0.06,0.06,0.14,212.5
A1765M,G_6_t5_a,A17,6,5,one,POS,M,4,13,16,0.58,0.49,0.39,39.1
A1765M,G_6_t5_b,A17,6,5,one,POS,M,1,13,20,NA,0.62,0.57,30.3
A1770M,G_7_t0_a,A17,7,0,one,POS,M,10,11,12,0.19,0.14,0.16,223.1
A1770M,G_7_t0_b,A17,7,0,one,POS,M,10,11,12,0.1,0.1,0.13,264.3
A1775M,G_7_t5_a,A17,7,5,one,POS,M,9,12,13,0.18,0.24,0.22,94.2
A1775M,G_7_t5_b,A17,7,5,one,POS,M,5,12,13,0.3,0.4,0.32,76.3
A1780M,G_8_t0_a,A17,8,0,one,POS,M,11,12,14,0.4,0.22,0.22,158.3
A1780M,G_8_t0_b,A17,8,0,one,POS,M,11,12,13,0.47,0.25,0.23,243.8
A1785M,G_8_t5_a,A17,8,5,one,POS,M,0,13,14,NA,0.47,0.41,51.7
A1785M,G_8_t5_b,A17,8,5,one,POS,M,0,12,13,NA,0.52,0.45,182.8
A1790M,G_9_t0_a,A17,9,0,one,POS,M,12,12,14,0.07,0.06,0.14,201
A1790M,G_9_t0_b,A17,9,0,one,POS,M,12,13,14,0.06,0.08,0.12,192.3
A1795M,G_9_t5_a,A17,9,5,one,POS,M,7,15,16,0.37,0.33,0.31,30.5
A1795M,G_9_t5_b,A17,9,5,one,POS,M,7,16,22,0.6,0.44,0.43,35.2
A1810M,H_1_t0_a,A18,1,0,one,POS,M,5,9,10,0.31,0.29,0.25,185.1
A1810M,H_1_t0_b,A18,1,0,one,POS,M,6,9,10,0.49,0.26,0.26,165.2
A1815M,H_1_t5_a,A18,1,5,one,POS,M,6,10,11,0.3,0.35,0.26,132.2
A1815M,H_1_t5_b,A18,1,5,one,POS,M,5,10,11,0.58,0.41,0.3,134
A18100M,H_10_t0_a,A18,10,0,one,POS,M,8,10,12,0.64,0.35,0.3,112.7
A18100M,H_10_t0_b,A18,10,0,one,POS,M,2,10,12,0.54,0.56,0.42,61.7
A18105M,H_10_t5_a,A18,10,5,one,POS,M,6,12,13,0.33,0.38,0.35,37.2
A18105M,H_10_t5_b,A18,10,5,one,POS,M,7,11,14,0.76,0.41,0.39,54.8
A18110M,H_11_t0_a,A18,11,0,one,POS,M,6,11,12,0.32,0.27,0.27,138.5
A18110M,H_11_t0_b,A18,11,0,one,POS,M,5,10,11,0.39,0.38,0.3,111.1
A18115M,H_11_t5_a,A18,11,5,one,POS,M,12,14,18,0.38,0.26,0.35,43.1
A18115M,H_11_t5_b,A18,11,5,one,POS,M,10,12,14,0.44,0.25,0.26,80.8
A18120M,H_12_t0_a,A18,12,0,one,POS,M,7,10,12,0.31,0.31,0.25,110.5
A18120M,H_12_t0_b,A18,12,0,one,POS,M,5,10,12,0.22,0.37,0.3,67.6
A18125M,H_12_t5_a,A18,12,5,one,POS,M,6,10,12,0.39,0.35,0.31,109.3
A18125M,H_12_t5_b,A18,12,5,one,POS,M,8,11,12,0.18,0.19,0.2,127.6
A1820M,H_2_t0_a,A18,2,0,one,POS,M,7,9,10,0.48,0.27,0.23,195.3
A1820M,H_2_t0_b,A18,2,0,one,POS,M,5,9,10,0.44,0.41,0.29,137
A1825M,H_2_t5_a,A18,2,5,one,POS,M,11,13,15,0.4,0.22,0.25,41.4
A1825M,H_2_t5_b,A18,2,5,one,POS,M,7,11,12,0.32,0.28,0.25,99
A1830M,H_3_t0_a,A18,3,0,one,POS,M,5,10,11,0.54,0.35,0.31,161.1
A1830M,H_3_t0_b,A18,3,0,one,POS,M,3,9,10,0.58,0.52,0.37,125.6
A1835M,H_3_t5_a,A18,3,5,one,POS,M,9,12,14,0.44,0.29,0.29,83.8
A1835M,H_3_t5_b,A18,3,5,one,POS,M,7,11,12,0.34,0.26,0.25,86.8
A1840M,H_4_t0_a,A18,4,0,one,POS,M,5,10,11,0.39,0.3,0.27,167.9
A1840M,H_4_t0_b,A18,4,0,one,POS,M,4,10,11,0.44,0.39,0.31,109.2
A1845M,H_4_t5_a,A18,4,5,one,POS,M,14,16,17,0.61,0.28,0.27,25.5
A1845M,H_4_t5_b,A18,4,5,one,POS,M,14,16,17,0.66,0.32,0.31,28.5
A1850M,H_5_t0_a,A18,5,0,one,POS,M,5,11,12,0.47,0.35,0.33,76.1
A1850M,H_5_t0_b,A18,5,0,one,POS,M,3,10,12,0.71,0.49,0.39,58.3
A1855M,H_5_t5_a,A18,5,5,one,POS,M,14,16,16,0.44,0.22,0.22,42
A1855M,H_5_t5_b,A18,5,5,one,POS,M,9,15,17,0.46,0.31,0.3,42.8
A1860M,H_6_t0_a,A18,6,0,one,POS,M,2,9,10,0.44,0.52,0.39,108.3
A1860M,H_6_t0_b,A18,6,0,one,POS,M,4,10,11,0.47,0.42,0.34,104.7
A1865M,H_6_t5_a,A18,6,5,one,POS,M,7,11,14,0.6,0.36,0.37,53.3
A1865M,H_6_t5_b,A18,6,5,one,POS,M,2,11,13,0.63,0.5,0.41,55.7
A1870M,H_7_t0_a,A18,7,0,one,POS,M,3,10,11,0.59,0.49,0.38,79.4
A1870M,H_7_t0_b,A18,7,0,one,POS,M,6,11,12,0.3,0.31,0.27,103.6
A1875M,H_7_t5_a,A18,7,5,one,POS,M,4,12,13,0.56,0.45,0.36,69.8
A1875M,H_7_t5_b,A18,7,5,one,POS,M,2,10,11,0.61,0.55,0.4,82.4
A1880M,H_8_t0_a,A18,8,0,one,POS,M,3,10,12,0.35,0.44,0.37,58.6
A1880M,H_8_t0_b,A18,8,0,one,POS,M,4,9,10,0.61,0.51,0.37,132.6
A1890M,H_9_t0_a,A18,9,0,one,POS,M,6,9,10,0.39,0.32,0.22,203.1
A1890M,H_9_t0_b,A18,9,0,one,POS,M,6,9,10,0.41,0.32,0.24,137.1
A1895M,H_9_t5_a,A18,9,5,one,POS,M,10,12,13,0.36,0.22,0.2,100.5
A1895M,H_9_t5_b,A18,9,5,one,POS,M,10,12,13,0.47,0.26,0.24,98.3
A1710M,A17_t0_M_1_a_POS,A17,1,0,two,POS,M,7,10,12,0.46,0.34,0.31,198.8
A1710M,A17_t0_M_1_b_POS,A17,1,0,two,POS,M,8,11,12,0.2,0.21,0.23,174.3
A17100M,A17_t0_M_10_a_POS,A17,10,0,two,POS,M,8,10,12,0.12,0.18,0.21,177
A17100M,A17_t0_M_10_b_POS,A17,10,0,two,POS,M,7,11,12,0.12,0.21,0.23,147.6
A17110M,A17_t0_M_11_a_POS,A17,11,0,two,POS,M,8,10,11,0.45,0.25,0.21,211.7
A17110M,A17_t0_M_11_b_POS,A17,11,0,two,POS,M,8,11,11,0.31,0.21,0.19,179.5
A17120M,A17_t0_M_12_a_POS,A17,12,0,two,POS,M,9,11,12,0.66,0.26,0.27,234
A17120M,A17_t0_M_12_b_POS,A17,12,0,two,POS,M,9,10,11,0.43,0.19,0.17,192.5
A1720M,A17_t0_M_2_a_POS,A17,2,0,two,POS,M,6,10,11,0.18,0.26,0.23,118.5
A1720M,A17_t0_M_2_b_POS,A17,2,0,two,POS,M,7,10,11,0.21,0.23,0.2,184.9
A1730M,A17_t0_M_3_a_POS,A17,3,0,two,POS,M,9,11,12,0.2,0.17,0.17,202.3
A1730M,A17_t0_M_3_b_POS,A17,3,0,two,POS,M,8,11,12,0.18,0.19,0.21,192.1
A1740M,A17_t0_M_4_a_POS,A17,4,0,two,POS,M,7,10,11,0.16,0.25,0.22,161.8
A1740M,A17_t0_M_4_b_POS,A17,4,0,two,POS,M,7,10,11,0.14,0.23,0.2,171.4
A1750M,A17_t0_M_5_a_POS,A17,5,0,two,POS,M,9,11,12,0.14,0.15,0.15,184
A1750M,A17_t0_M_5_b_POS,A17,5,0,two,POS,M,9,11,12,0.15,0.16,0.17,215.8
A1760M,A17_t0_M_6_a_POS,A17,6,0,two,POS,M,10,11,12,0.19,0.15,0.14,177.8
A1760M,A17_t0_M_6_b_POS,A17,6,0,two,POS,M,10,11,12,0.16,0.11,0.14,211.6
A1770M,A17_t0_M_7_a_POS,A17,7,0,two,POS,M,9,10,11,0.25,0.18,0.17,184.1
A1770M,A17_t0_M_7_b_POS,A17,7,0,two,POS,M,8,10,11,0.17,0.19,0.18,192.1
A1790M,A17_t0_M_9_a_POS,A17,9,0,two,POS,M,8,11,12,0.11,0.19,0.2,171.4
A1790M,A17_t0_M_9_b_POS,A17,9,0,two,POS,M,8,11,12,0.14,0.18,0.19,157.2
A1710Q,A17_t0_Q_1_a_POS,A17,1,0,two,POS,Q,7,10,12,0.21,0.25,0.25,164.7
A1710Q,A17_t0_Q_1_b_POS,A17,1,0,two,POS,Q,6,9,11,0.21,0.32,0.3,144.8
A17100Q,A17_t0_Q_10_b_POS,A17,10,0,two,POS,Q,9,10,11,0.15,0.13,0.14,165.1
A17110Q,A17_t0_Q_11_a_POS,A17,11,0,two,POS,Q,8,10,11,0.38,0.23,0.21,210.2
A17110Q,A17_t0_Q_11_b_POS,A17,11,0,two,POS,Q,6,10,11,0.21,0.27,0.26,148.8
A17120Q,A17_t0_Q_12_b_POS,A17,12,0,two,POS,Q,8,10,11,0.09,0.14,0.15,215.9
A1720Q,A17_t0_Q_2_a_POS,A17,2,0,two,POS,Q,8,11,11,0.19,0.19,0.18,171.7
A1720Q,A17_t0_Q_2_b_POS,A17,2,0,two,POS,Q,7,10,11,0.12,0.23,0.21,164.8
A1730Q,A17_t0_Q_3_a_POS,A17,3,0,two,POS,Q,8,10,11,0.16,0.2,0.17,170.5
A1730Q,A17_t0_Q_3_b_POS,A17,3,0,two,POS,Q,8,11,12,0.15,0.18,0.22,156.3
A1740Q,A17_t0_Q_4_a_POS,A17,4,0,two,POS,Q,8,11,12,0.15,0.18,0.2,207.7
A1740Q,A17_t0_Q_4_b_POS,A17,4,0,two,POS,Q,7,10,11,0.09,0.21,0.22,168.4
A1750Q,A17_t0_Q_5_a_POS,A17,5,0,two,POS,Q,7,11,12,0.21,0.23,0.24,139.3
A1750Q,A17_t0_Q_5_b_POS,A17,5,0,two,POS,Q,7,11,12,0.17,0.22,0.25,114.7
A1760Q,A17_t0_Q_6_a_POS,A17,6,0,one,POS,Q,8,10,11,0.2,0.2,0.18,192.1
A1760Q,A17_t0_Q_6_b_POS,A17,6,0,one,POS,Q,8,10,11,0.17,0.18,0.17,205.4
A1770Q,A17_t0_Q_7_a_POS,A17,7,0,two,POS,Q,8,10,11,0.17,0.19,0.17,204.2
A1770Q,A17_t0_Q_7_b_POS,A17,7,0,two,POS,Q,7,10,11,0.09,0.2,0.18,188.5
A1780Q,A17_t0_Q_8_a_POS,A17,8,0,two,POS,Q,10,11,12,0.17,0.14,0.17,217.1
A1780Q,A17_t0_Q_8_b_POS,A17,8,0,two,POS,Q,7,10,11,0.11,0.21,0.2,180.8
A1790Q,A17_t0_Q_9_a_POS,A17,9,0,two,POS,Q,8,11,12,0.14,0.19,0.22,130.6
A1790Q,A17_t0_Q_9_b_POS,A17,9,0,two,POS,Q,8,11,11,0.13,0.19,0.17,163.8
A17105M,A17_t5_M_10_a_POS,A17,10,5,two,POS,M,0,12,15,NA,0.87,0.61,31.9
A17105M,A17_t5_M_10_b_POS,A17,10,5,two,POS,M,0,12,15,NA,0.87,0.61,21.9
A17115M,A17_t5_M_11_a_POS,A17,11,5,two,POS,M,0,6,10,NA,0.87,0.67,55.6
A17115M,A17_t5_M_11_b_POS,A17,11,5,two,POS,M,0,7,11,NA,0.95,0.62,70.9
A1735M,A17_t5_M_3_a_POS,A17,3,5,two,POS,M,0,5,15,NA,1,0.68,19.7
A1735M,A17_t5_M_3_b_POS,A17,3,5,two,POS,M,0,8,15,NA,0.98,0.67,19
A1745M,A17_t5_M_4_a_POS,A17,4,5,two,POS,M,12,13,14,0.1,0.1,0.14,177.1
A1745M,A17_t5_M_4_b_POS,A17,4,5,two,POS,M,12,13,15,0.08,0.08,0.15,216.5
A1755M,A17_t5_M_5_a_POS,A17,5,5,two,POS,M,0,2,12,NA,0.69,0.73,34.3
A1755M,A17_t5_M_5_b_POS,A17,5,5,two,POS,M,0,4,12,NA,0.69,0.69,36.4
A1765M,A17_t5_M_6_a_POS,A17,6,5,two,POS,M,1,12,18,NA,0.68,0.59,22.2
A1765M,A17_t5_M_6_b_POS,A17,6,5,two,POS,M,1,14,15,NA,0.63,0.54,24.4
A1775M,A17_t5_M_7_a_POS,A17,7,5,two,POS,M,0,13,15,NA,0.88,0.66,16.7
A1775M,A17_t5_M_7_b_POS,A17,7,5,two,POS,M,1,13,14,NA,0.65,0.55,21.4
A1785M,A17_t5_M_8_a_POS,A17,8,5,two,POS,M,0,12,14,NA,0.67,0.42,117.9
A1785M,A17_t5_M_8_b_POS,A17,8,5,two,POS,M,0,12,14,NA,0.7,0.43,98.7
A1795M,A17_t5_M_9_a_POS,A17,9,5,two,POS,M,0,11,14,NA,0.9,0.58,93
A1795M,A17_t5_M_9_b_POS,A17,9,5,two,POS,M,0,2,14,NA,0.89,0.68,15.8
A17105Q,A17_t5_Q_10_a_POS,A17,10,5,two,POS,Q,1,12,13,NA,0.48,0.41,53.7
A17105Q,A17_t5_Q_10_b_POS,A17,10,5,two,POS,Q,0,11,12,NA,0.68,0.49,120.9
A17115Q,A17_t5_Q_11_a_POS,A17,11,5,two,POS,Q,0,11,13,NA,0.76,0.52,70.9
A17115Q,A17_t5_Q_11_b_POS,A17,11,5,two,POS,Q,0,11,12,NA,0.71,0.51,95.3
A1725Q,A17_t5_Q_2_a_POS,A17,2,5,two,POS,Q,0,9,12,NA,0.95,0.61,43.4
A1725Q,A17_t5_Q_2_b_POS,A17,2,5,two,POS,Q,0,10,12,NA,0.84,0.54,103.5
A1795Q,A17_t5_Q_9_a_POS,A17,9,5,two,POS,Q,0,10,14,NA,0.85,0.61,27.4
A1795Q,A17_t5_Q_9_b_POS,A17,9,5,two,POS,Q,0,7,12,NA,0.96,0.64,43.6
A0310M,A3_t0_M_1_a_POS,A03,1,0,three,POS,M,6,10,11,0.15,0.3,0.24,140
A0310M,A3_t0_M_1_b_POS,A03,1,0,three,POS,M,6,11,12,0.29,0.34,0.26,128.6
A03100M,A3_t0_M_10_a_POS,A03,10,0,three,POS,M,6,10,12,0.17,0.33,0.3,94.9
A03100M,A3_t0_M_10_b_POS,A03,10,0,three,POS,M,6,10,11,0.14,0.28,0.25,136.3
A03110M,A3_t0_M_11_a_POS,A03,11,0,three,POS,M,4,10,11,0.18,0.41,0.35,94.9
A03110M,A3_t0_M_11_b_POS,A03,11,0,three,POS,M,6,10,11,0.27,0.35,0.29,132.8
A03120M,A3_t0_M_12_a_POS,A03,12,0,three,POS,M,5,10,11,0.25,0.36,0.31,86
A03120M,A3_t0_M_12_b_POS,A03,12,0,three,POS,M,5,10,12,0.32,0.38,0.3,138
A0320M,A3_t0_M_2_a_POS,A03,2,0,three,POS,M,6,10,11,0.25,0.32,0.25,130.5
A0320M,A3_t0_M_2_b_POS,A03,2,0,three,POS,M,5,10,11,0.29,0.41,0.32,104.1
A0330M,A3_t0_M_3_a_POS,A03,3,0,three,POS,M,5,10,11,0.2,0.39,0.31,105.9
A0330M,A3_t0_M_3_b_POS,A03,3,0,three,POS,M,6,11,12,0.23,0.3,0.28,122.8
A0340M,A3_t0_M_4_a_POS,A03,4,0,three,POS,M,7,11,12,0.31,0.26,0.23,132.2
A0350M,A3_t0_M_5_a_POS,A03,5,0,three,POS,M,6,10,12,0.15,0.3,0.27,130.6
A0350M,A3_t0_M_5_b_POS,A03,5,0,three,POS,M,6,11,12,0.2,0.28,0.27,113.4
A0360M,A3_t0_M_6_a_POS,A03,6,0,three,POS,M,6,11,12,0.14,0.27,0.27,132.1
A0360M,A3_t0_M_6_b_POS,A03,6,0,three,POS,M,6,10,11,0.13,0.29,0.25,140.4
A0370M,A3_t0_M_7_a_POS,A03,7,0,three,POS,M,6,10,11,0.18,0.3,0.26,143.4
A0370M,A3_t0_M_7_b_POS,A03,7,0,three,POS,M,6,10,12,0.25,0.35,0.28,118.8
A0380M,A3_t0_M_8_a_POS,A03,8,0,three,POS,M,7,10,11,0.18,0.29,0.24,141.2
A0380M,A3_t0_M_8_b_POS,A03,8,0,three,POS,M,7,11,12,0.21,0.26,0.24,134.7
A0390M,A3_t0_M_9_a_POS,A03,9,0,three,POS,M,6,10,11,0.17,0.3,0.25,141.1
A0390M,A3_t0_M_9_b_POS,A03,9,0,three,POS,M,6,10,12,0.12,0.3,0.28,127.6
A0310Q,A3_t0_Q_1_a_POS,A03,1,0,two,POS,Q,5,10,11,0.24,0.39,0.31,100.2
A0310Q,A3_t0_Q_1_b_POS,A03,1,0,two,POS,Q,5,9,11,0.19,0.36,0.32,127.2
A03100Q,A3_t0_Q_10_a_POS,A03,10,0,two,POS,Q,5,10,11,0.2,0.37,0.29,114.2
A03100Q,A3_t0_Q_10_b_POS,A03,10,0,two,POS,Q,6,10,11,0.24,0.35,0.28,120.3
A03110Q,A3_t0_Q_11_a_POS,A03,11,0,two,POS,Q,5,11,12,0.29,0.31,0.28,133.4
A03110Q,A3_t0_Q_11_b_POS,A03,11,0,two,POS,Q,5,10,11,0.34,0.41,0.32,120
A03120Q,A3_t0_Q_12_a_POS,A03,12,0,two,POS,Q,6,10,12,0.34,0.37,0.28,152
A03120Q,A3_t0_Q_12_b_POS,A03,12,0,two,POS,Q,4,10,11,0.3,0.39,0.33,107.9
A0320Q,A3_t0_Q_2_a_POS,A03,2,0,two,POS,Q,5,11,12,0.2,0.33,0.29,125.6
A0320Q,A3_t0_Q_2_b_POS,A03,2,0,two,POS,Q,5,10,11,0.21,0.36,0.29,117.2
A0330Q,A3_t0_Q_3_a_POS,A03,3,0,two,POS,Q,5,10,11,0.27,0.39,0.32,119.4
A0330Q,A3_t0_Q_3_b_POS,A03,3,0,two,POS,Q,6,11,12,0.17,0.28,0.26,140
A0340Q,A3_t0_Q_4_a_POS,A03,4,0,two,POS,Q,5,10,12,0.22,0.38,0.3,115.5
A0340Q,A3_t0_Q_4_b_POS,A03,4,0,two,POS,Q,6,10,11,0.24,0.33,0.27,131.2
A0350Q,A3_t0_Q_5_a_POS,A03,5,0,two,POS,Q,4,10,11,0.2,0.42,0.33,103.1
A0350Q,A3_t0_Q_5_b_POS,A03,5,0,two,POS,Q,5,10,11,0.32,0.39,0.32,123.9
A0360Q,A3_t0_Q_6_a_POS,A03,6,0,two,POS,Q,5,10,11,0.27,0.42,0.33,117.2
A0360Q,A3_t0_Q_6_b_POS,A03,6,0,two,POS,Q,5,10,11,0.22,0.34,0.32,105.4
A0370Q,A3_t0_Q_7_a_POS,A03,7,0,two,POS,Q,5,9,11,0.24,0.42,0.35,78.9
A0370Q,A3_t0_Q_7_b_POS,A03,7,0,two,POS,Q,6,10,11,0.17,0.31,0.26,122.9
A0380Q,A3_t0_Q_8_a_POS,A03,8,0,two,POS,Q,4,10,11,0.32,0.46,0.36,94.3
A0380Q,A3_t0_Q_8_b_POS,A03,8,0,two,POS,Q,4,8,11,0.38,0.5,0.43,88.1
A0390Q,A3_t0_Q_9_a_POS,A03,9,0,two,POS,Q,6,10,11,0.31,0.35,0.27,142.9
A0390Q,A3_t0_Q_9_b_POS,A03,9,0,two,POS,Q,6,10,11,0.24,0.35,0.3,106.8
A0375M,A3_t5_M_7_a_POS,A03,7,5,one,POS,M,2,15,15,0.93,0.47,0.46,39.3
A0375M,A3_t5_M_7_b_POS,A03,7,5,one,POS,M,0,14,15,NA,0.66,0.56,26.5
A03115Q,A3_t5_Q_11_a_POS,A03,11,5,two,POS,Q,0,6,8,NA,0.75,0.58,57.2
A03115Q,A3_t5_Q_11_b_POS,A03,11,5,two,POS,Q,0,3,9,NA,0.67,0.67,35.7
A0325Q,A3_t5_Q_2_a_POS,A03,2,5,two,POS,Q,0,0,13,NA,NA,0.68,22.4
A0325Q,A3_t5_Q_2_b_POS,A03,2,5,two,POS,Q,0,2,13,NA,0.87,0.66,34
A0335Q,A3_t5_Q_3_a_POS,A03,3,5,two,POS,Q,0,2,12,NA,0.89,0.71,24.9
A0335Q,A3_t5_Q_3_b_POS,A03,3,5,two,POS,Q,0,1,13,NA,NA,0.66,25.1
A0365Q,A3_t5_Q_6_a_POS,A03,6,5,two,POS,Q,0,14,16,NA,0.75,0.55,43.5
A0365Q,A3_t5_Q_6_b_POS,A03,6,5,two,POS,Q,0,14,16,NA,0.74,0.55,53.1
A0375Q,A3_t5_Q_7_a_POS,A03,7,5,two,POS,Q,0,11,13,NA,0.85,0.55,50.9
A0375Q,A3_t5_Q_7_b_POS,A03,7,5,two,POS,Q,0,12,14,NA,0.68,0.5,48.2
A0385Q,A3_t5_Q_8_a_POS,A03,8,5,two,POS,Q,0,11,13,NA,0.96,0.63,86.3
A0385Q,A3_t5_Q_8_b_POS,A03,8,5,two,POS,Q,0,12,13,NA,0.79,0.58,98.5
A0395Q,A3_t5_Q_9_a_POS,A03,9,5,two,POS,Q,0,12,15,NA,0.8,0.59,32.2
A0395Q,A3_t5_Q_9_b_POS,A03,9,5,two,POS,Q,0,11,14,NA,0.95,0.62,128.6
A0410M,A4_t0_M_1_a_POS,A04,1,0,two,POS,M,11,12,13,0.03,0.06,0.1,192
A0410M,A4_t0_M_1_b_POS,A04,1,0,two,POS,M,11,12,13,0.06,0.1,0.15,262.9
A04100M,A4_t0_M_10_a_POS,A04,10,0,two,POS,M,10,11,12,0.08,0.1,0.16,224.1
A04100M,A4_t0_M_10_b_POS,A04,10,0,two,POS,M,10,11,12,0.09,0.09,0.13,210.7
A04110M,A4_t0_M_11_a_POS,A04,11,0,two,POS,M,11,11,12,0.07,0.07,0.09,206.6
A04110M,A4_t0_M_11_b_POS,A04,11,0,two,POS,M,11,12,13,0.05,0.09,0.14,174.8
A04120M,A4_t0_M_12_a_POS,A04,12,0,two,POS,M,11,12,13,0.04,0.07,0.12,189.8
A04120M,A4_t0_M_12_b_POS,A04,12,0,two,POS,M,10,11,12,0.04,0.06,0.1,193.4
A0420M,A4_t0_M_2_a_POS,A04,2,0,two,POS,M,10,11,13,0.4,0.2,0.24,236.1
A0420M,A4_t0_M_2_b_POS,A04,2,0,two,POS,M,10,11,12,0.32,0.16,0.17,208.3
A0430M,A4_t0_M_3_a_POS,A04,3,0,two,POS,M,10,11,12,0.28,0.19,0.21,248
A0430M,A4_t0_M_3_b_POS,A04,3,0,two,POS,M,10,11,12,0.32,0.2,0.22,217.3
A0440M,A4_t0_M_4_a_POS,A04,4,0,two,POS,M,10,11,12,0.09,0.08,0.1,163.9
A0440M,A4_t0_M_4_b_POS,A04,4,0,two,POS,M,10,11,12,0.09,0.09,0.13,203.5
A0450M,A4_t0_M_5_a_POS,A04,5,0,two,POS,M,10,11,12,0.08,0.09,0.13,197.6
A0450M,A4_t0_M_5_b_POS,A04,5,0,two,POS,M,10,11,12,0.08,0.1,0.16,184
